timestamp,amps,
2020-01-24 09:05:05, 0.395, 
2020-01-24 09:06:03, 0.386, 
2020-01-24 09:07:05, 0.402, 
2020-01-24 09:08:03, 0.378, 
2020-01-24 09:09:05, 0.390, 
2020-01-24 09:10:05, 0.360, 
2020-01-24 09:11:05, 0.387, 
2020-01-24 09:12:05, 0.395, 
2020-01-24 09:13:05, 0.400, 
2020-01-24 09:14:05, 0.377, 
2020-01-24 09:15:04, 0.370, 
2020-01-24 09:16:03, 0.366, 
2020-01-24 09:17:05, 0.352, 
2020-01-24 09:18:05, 0.393, 
2020-01-24 09:19:05, 0.381, 
2020-01-24 09:20:05, 0.383, 
2020-01-24 09:21:05, 0.372, 
2020-01-24 09:22:05, 0.371, 
2020-01-24 09:23:04, 0.353, 
2020-01-24 09:24:05, 0.377, 
2020-01-24 09:25:04, 0.363, 
2020-01-24 09:26:04, 0.393, 
2020-01-24 09:27:05, 0.371, 
2020-01-24 09:28:05, 0.383, 
2020-01-24 09:29:05, 0.375, 
2020-01-24 09:30:06, 0.399, 
2020-01-24 09:31:04, 0.356, 
2020-01-24 09:32:09, 0.386, 
2020-01-24 09:33:04, 0.381, 
2020-01-24 09:34:07, 0.368, 
2020-01-24 09:35:04, 0.400, 
2020-01-24 09:36:05, 0.384, 
2020-01-24 09:37:04, 0.373, 
2020-01-24 09:38:05, 0.394, 
2020-01-24 09:39:07, 0.390, 
2020-01-24 09:40:05, 0.381, 
2020-01-24 09:41:05, 0.375, 
2020-01-24 09:42:05, 0.375, 
2020-01-24 09:43:04, 0.395, 
2020-01-24 09:44:05, 0.395, 
2020-01-24 09:45:04, 0.374, 
2020-01-24 09:46:05, 0.382, 
2020-01-24 09:47:07, 0.386, 
2020-01-24 09:48:05, 0.391, 
2020-01-24 09:49:07, 0.387, 
2020-01-24 09:50:04, 0.362, 
2020-01-24 09:51:05, 0.378, 
2020-01-24 09:52:04, 0.356, 
2020-01-24 09:53:05, 0.393, 
2020-01-24 09:54:05, 0.365, 
2020-01-24 09:55:05, 0.364, 
2020-01-24 09:56:04, 0.368, 
2020-01-24 09:57:05, 0.399, 
2020-01-24 09:58:04, 0.376, 
2020-01-24 09:59:04, 0.366, 
2020-01-24 10:00:05, 0.369, 
2020-01-24 10:01:07, 0.386, 
2020-01-24 10:02:05, 0.348, 
2020-01-24 10:03:04, 0.365, 
2020-01-24 10:04:05, 0.388, 
2020-01-24 10:05:05, 0.396, 
2020-01-24 10:06:04, 0.396, 
2020-01-24 10:07:05, 0.371, 
2020-01-24 10:08:04, 0.370, 
2020-01-24 10:09:07, 0.377, 
2020-01-24 10:10:04, 0.371, 
2020-01-24 10:11:05, 0.380, 
2020-01-24 10:12:04, 0.366, 
2020-01-24 10:13:07, 0.395, 
2020-01-24 10:14:04, 0.380, 
2020-01-24 10:15:05, 0.370, 
2020-01-24 10:16:05, 0.379, 
2020-01-24 10:17:04, 0.372, 
2020-01-24 10:18:05, 0.378, 
2020-01-24 10:19:08, 0.382, 
2020-01-24 10:20:05, 0.392, 
2020-01-24 10:21:04, 0.400, 
2020-01-24 10:22:05, 0.377, 
2020-01-24 10:23:05, 0.379, 
2020-01-24 10:24:12, 0.371, 
2020-01-24 10:25:05, 0.374, 
2020-01-24 10:26:04, 0.383, 
2020-01-24 10:27:07, 0.380, 
2020-01-24 10:28:05, 0.402, 
2020-01-24 10:29:04, 0.406, 
2020-01-24 10:30:05, 0.387, 
2020-01-24 10:31:05, 0.382, 
2020-01-24 10:32:04, 0.381, 
2020-01-24 10:33:07, 0.383, 
2020-01-24 10:34:04, 0.373, 
2020-01-24 10:35:04, 0.393, 
2020-01-24 10:36:05, 0.375, 
2020-01-24 10:37:05, 0.373, 
2020-01-24 10:38:05, 0.387, 
2020-01-24 10:39:07, 0.385, 
2020-01-24 10:40:04, 0.371, 
2020-01-24 10:41:05, 0.371, 
2020-01-24 10:42:05, 0.394, 
2020-01-24 10:43:04, 0.387, 
2020-01-24 10:44:05, 0.377, 
2020-01-24 10:45:04, 0.350, 
2020-01-24 10:46:08, 0.400, 
2020-01-24 10:47:05, 0.372, 
2020-01-24 10:48:04, 0.370, 
2020-01-24 10:49:05, 0.360, 
2020-01-24 10:50:05, 0.384, 
2020-01-24 10:51:04, 0.391, 
2020-01-24 10:52:04, 0.378, 
2020-01-24 10:53:05, 0.365, 
2020-01-24 10:54:04, 0.389, 
2020-01-24 10:55:06, 0.400, 
2020-01-24 10:56:05, 0.382, 
2020-01-24 10:57:05, 0.382, 
2020-01-24 10:58:07, 0.383, 
2020-01-24 10:59:04, 0.392, 
2020-01-24 11:00:05, 0.378, 
2020-01-24 11:01:04, 0.381, 
2020-01-24 11:02:05, 0.367, 
2020-01-24 11:03:05, 0.383
2020-01-24 11:04:05, 0.393
